Dates;Market;SMB;HML;RMW;CMA;UMD;ROE;IA;BAB
196702;0,0078;0,0334;-0,0217;0,0194;-0,0094;0,0356;0,035317;-0,002064;0,0262
196703;0,0399;0,0163;0,0031;0,009;-0,0151;0,0142;0,018876;-0,016933;0,0081
196704;0,0389;0,0062;-0,0264;0,0243;-0,0375;0,0064;0,010983;-0,029519;0,0171
196705;-0,0433;0,0198;0,008;-0,0175;0,0161;0,0067;0,005234;0,024686;0,0201
196706;0,0241;0,0596;0,0096;-0,0064;-0,0239;0,0603;0,002945;-0,0217;-0,0163
196707;0,0458;0,0308;0,0265;0,0051;0,0272;-0,0107;-0,007125;0,023713;0,0456
196708;-0,0089;0,0047;0,0146;0,0042;0,0141;-0,0141;-0,00678;0,018169;0,0227
196709;0,0311;0,031;-0,0247;0,0022;-0,0095;0,0255;0,00764;-0,004427;0,0213
196710;-0,0309;0,0142;-0,0339;0,0081;-0,0255;0,0367;0,033736;-0,024696;-0,0004
196711;0,0037;0,002;-0,0171;0,0129;-0,0229;0,0129;0,007948;-0,027052;-0,0075
196712;0,0305;0,0573;-0,0039;-0,0064;0,0003;0,0323;0,008415;0,003024;0,002
196801;-0,0406;0,0391;0,0475;-0,0458;0,0645;-0,0464;-0,027611;0,047175;0,0629
196802;-0,0375;-0,0295;0,0117;-0,0014;0,0249;-0,0341;-0,003786;0,027512;0,0213
196803;0,002;-0,0128;-0,0059;0,0117;-0,0115;0,0318;0,016762;-0,011343;-0,0158
196804;0,0905;0,0573;-0,0103;0,0279;-0,0366;0,0515;0,037654;-0,026056;0,0017
196805;0,0228;0,0643;0,0084;0,0039;-0,0182;0,0373;0,0196;-0,023165;0,0181
196806;0,0069;-0,0017;0,0067;-0,0133;0,0268;-0,0192;-0,00477;0,024451;0,0689
196807;-0,0272;-0,013;0,0548;-0,03;0,0361;-0,0084;-0,02101;0,027644;0,0247
196808;0,0134;0,0234;0,01;-0,006;0,004;0,0188;-0,007607;0,00369;0,0015
196809;0,0403;0,0276;0,0023;-0,0203;0,0092;-0,0067;-0,034236;-0,005757;0,0071
196810;0,0042;-0,0047;0,0289;-0,013;0,0281;-0,0152;0,006051;0,026934;0,0322
196811;0,0543;0,0235;-0,009;0,0046;-0,0252;0,0173;-0,004084;-0,0135;0,0257
196812;-0,0394;0,0344;0,0002;-0,0178;0,0165;0,0011;-0,007669;0,025891;0,0105
196901;-0,0125;-0,0078;0,0169;-0,0154;0,0141;-0,0015;-0,000599;0,011287;0,0069
196902;-0,0584;-0,0389;0,0091;0,0217;0,008;-0,0246;0,010708;0,008468;-0,0031
196903;0,0264;-0,0025;-0,0046;-0,0134;-0,0042;0,0395;0,019151;0,004342;-0,0176
196904;0,0146;-0,0088;0,0003;0,0038;0,0006;0,0117;0,020249;0,005729;-0,0048
196905;-0,001;-0,0027;0,0073;-0,0097;0,0149;0,0168;-0,000632;0,014177;0,0176
196906;-0,0718;-0,0539;-0,0109;0,0426;-0,0155;-0,0223;0,034035;-0,006272;-0,0131
196907;-0,07;-0,0321;0,0142;0,014;0,0197;0,0164;0,020585;0,019971;-0,0104
196908;0,0468;0,0094;-0,0387;0,0116;-0,0408;0,0214;0,004656;-0,025157;-0,0131
196909;-0,0298;0,012;-0,0319;0,0342;-0,0083;0,0253;0,020461;0,000668;0,0012
196910;0,0506;0,0381;-0,0319;0,0001;-0,0203;-0,0432;-0,010961;-0,015403;0,012
196911;-0,0379;-0,0253;-0,0112;0,0144;0,0032;0,036;0,027251;0,001868;-0,0038
196912;-0,0263;-0,0367;-0,0302;0,0247;-0,0204;0,0505;0,035171;-0,006988;0,0057
197001;-0,081;0,029;0,0304;-0,0177;0,0392;0,0062;-0,011151;0,03543;0,0098
197002;0,0513;-0,024;0,0404;-0,0228;0,0306;0,0012;-0,02148;0,017291;0,0261
197003;-0,0106;-0,0232;0,0425;-0,0087;0,0443;-0,0029;-0,009004;0,033862;0,0418
197004;-0,11;-0,0611;0,064;-0,0064;0,0588;-0,0073;0,003842;0,051869;0,0139
197005;-0,0692;-0,0452;0,036;-0,013;0,0362;-0,0273;0,002447;0,031902;-0,0499
197006;-0,0579;-0,0216;0,0087;0,0019;0,029;0,0578;0,026608;0,037465;0,0439
197007;0,0693;-0,0054;0,0096;-0,0007;0,019;-0,0294;-0,008376;0,025463;0,034
197008;0,0449;0,0152;0,0103;0,0057;-0,0015;-0,065;-0,033301;-0,008656;-0,0109
